week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2025-01-06,P003,S001,265,9,95,179,0
2025-01-13,P003,S001,179,32,103,108,0
2025-01-20,P003,S001,108,137,85,160,0
2025-01-27,P003,S001,160,55,118,97,0
2025-02-03,P003,S001,97,192,107,182,0
2025-02-10,P003,S001,182,92,112,162,0
2025-02-17,P003,S001,162,31,87,106,0
2025-02-24,P003,S001,106,186,93,199,0
2025-03-03,P003,S001,199,82,103,178,0
2025-03-10,P003,S001,178,104,96,186,0
2025-03-17,P003,S001,186,34,103,117,0
2025-03-24,P003,S001,117,114,104,127,0
2025-03-31,P003,S001,127,150,110,167,0
2025-04-07,P003,S001,167,98,95,170,0
2025-04-14,P003,S001,170,38,95,113,0
2025-04-21,P003,S001,113,155,86,182,0
2025-04-28,P003,S001,182,114,162,134,0
2025-05-05,P003,S001,134,93,99,128,0
2025-05-12,P003,S001,128,130,81,177,0
2025-05-19,P003,S001,177,147,92,232,0
2025-05-26,P003,S001,232,0,87,145,0
2025-06-02,P003,S001,145,160,119,186,0
2025-06-09,P003,S001,186,48,87,147,0
2025-06-16,P003,S001,147,133,103,177,0
2025-01-06,P004,S001,325,0,110,215,0
2025-01-13,P004,S001,215,3,94,124,0
2025-01-20,P004,S001,124,156,89,191,0
2025-01-27,P004,S001,191,74,145,120,0
2025-02-03,P004,S001,120,191,108,203,0
2025-02-10,P004,S001,203,39,115,127,0
2025-02-17,P004,S001,127,123,101,149,0
2025-02-24,P004,S001,149,114,91,172,0
2025-03-03,P004,S001,172,35,77,130,0
2025-03-10,P004,S001,130,168,110,188,0
2025-03-17,P004,S001,188,42,84,146,0
2025-03-24,P004,S001,146,141,105,182,0
2025-03-31,P004,S001,182,65,117,130,0
2025-04-07,P004,S001,130,87,104,113,0
2025-04-14,P004,S001,113,117,110,120,0
2025-04-21,P004,S001,120,92,79,133,0
2025-04-28,P004,S001,133,151,115,169,0
2025-05-05,P004,S001,169,56,116,109,0
2025-05-12,P004,S001,109,192,101,200,0
2025-05-19,P004,S001,200,105,145,160,0
2025-05-26,P004,S001,160,125,117,168,0
2025-06-02,P004,S001,168,50,97,121,0
2025-06-09,P004,S001,121,176,169,128,0
2025-06-16,P004,S001,128,103,127,104,0
2025-01-06,P005,S001,337,0,82,255,0
2025-01-13,P005,S001,255,6,88,173,0
2025-01-20,P005,S001,173,63,115,121,0
2025-01-27,P005,S001,121,142,94,169,0
2025-02-03,P005,S001,169,83,117,135,0
2025-02-10,P005,S001,135,116,94,157,0
2025-02-17,P005,S001,157,78,94,141,0
2025-02-24,P005,S001,141,100,97,144,0
2025-03-03,P005,S001,144,124,112,156,0
2025-03-10,P005,S001,156,74,110,120,0
2025-03-17,P005,S001,120,117,88,149,0
2025-03-24,P005,S001,149,108,174,83,0
2025-03-31,P005,S001,83,177,85,175,0
2025-04-07,P005,S001,175,56,92,139,0
2025-04-14,P005,S001,139,63,103,99,0
2025-04-21,P005,S001,99,132,88,143,0
2025-04-28,P005,S001,143,43,112,74,0
2025-05-05,P005,S001,74,182,119,137,0
2025-05-12,P005,S001,137,124,81,180,0
2025-05-19,P005,S001,180,6,92,94,0
2025-05-26,P005,S001,94,171,111,154,0
2025-06-02,P005,S001,154,37,90,101,0
2025-06-09,P005,S001,101,215,100,216,0
2025-06-16,P005,S001,216,70,172,114,0
2025-01-06,P006,S001,256,0,97,159,0
2025-01-13,P006,S001,159,95,122,132,0
2025-01-20,P006,S001,132,184,112,204,0
2025-01-27,P006,S001,204,64,111,157,0
2025-02-03,P006,S001,157,68,86,139,0
2025-02-10,P006,S001,139,57,97,99,0
2025-02-17,P006,S001,99,175,139,135,0
2025-02-24,P006,S001,135,47,100,82,0
2025-03-03,P006,S001,82,143,113,112,0
2025-03-10,P006,S001,112,118,101,129,0
2025-03-17,P006,S001,129,199,121,207,0
2025-03-24,P006,S001,207,11,96,122,0
2025-03-31,P006,S001,122,211,101,232,0
2025-04-07,P006,S001,232,97,126,203,0
2025-04-14,P006,S001,203,0,90,113,0
2025-04-21,P006,S001,113,158,122,149,0
2025-04-28,P006,S001,149,114,107,156,0
2025-05-05,P006,S001,156,27,100,83,0
2025-05-12,P006,S001,83,92,100,75,0
2025-05-19,P006,S001,75,150,85,140,0
2025-05-26,P006,S001,140,130,121,149,0
2025-06-02,P006,S001,149,90,90,149,0
2025-06-09,P006,S001,149,86,102,133,0
2025-06-16,P006,S001,133,73,74,132,0
2025-01-06,P007,S001,314,0,108,206,0
2025-01-13,P007,S001,206,116,113,209,0
2025-01-20,P007,S001,209,0,90,119,0
2025-01-27,P007,S001,119,169,124,164,0
2025-02-03,P007,S001,164,103,97,170,0
2025-02-10,P007,S001,170,84,118,136,0
2025-02-17,P007,S001,136,156,103,189,0
2025-02-24,P007,S001,189,32,99,122,0
2025-03-03,P007,S001,122,91,91,122,0
2025-03-10,P007,S001,122,103,94,131,0
2025-03-17,P007,S001,131,78,99,110,0
2025-03-24,P007,S001,110,114,105,119,0
2025-03-31,P007,S001,119,61,99,81,0
2025-04-07,P007,S001,81,205,84,202,0
2025-04-14,P007,S001,202,50,110,142,0
2025-04-21,P007,S001,142,115,94,163,0
2025-04-28,P007,S001,163,93,107,149,0
2025-05-05,P007,S001,149,134,92,191,0
2025-05-12,P007,S001,191,66,89,168,0
2025-05-19,P007,S001,168,54,115,107,0
2025-05-26,P007,S001,107,151,85,173,0
2025-06-02,P007,S001,173,130,99,204,0
2025-06-09,P007,S001,204,46,123,127,0
2025-06-16,P007,S001,127,90,97,120,0
2025-01-06,P008,S001,336,0,89,247,0
2025-01-13,P008,S001,247,0,94,153,0
2025-01-20,P008,S001,153,149,87,215,0
2025-01-27,P008,S001,215,54,97,172,0
2025-02-03,P008,S001,172,156,125,203,0
2025-02-10,P008,S001,203,41,89,155,0
2025-02-17,P008,S001,155,119,96,178,0
2025-02-24,P008,S001,178,74,82,170,0
2025-03-03,P008,S001,170,62,111,121,0
2025-03-10,P008,S001,121,132,84,169,0
2025-03-17,P008,S001,169,47,120,96,0
2025-03-24,P008,S001,96,171,116,151,0
2025-03-31,P008,S001,151,67,127,91,0
2025-04-07,P008,S001,91,172,96,167,0
2025-04-14,P008,S001,167,100,120,147,0
2025-04-21,P008,S001,147,139,91,195,0
2025-04-28,P008,S001,195,45,98,142,0
2025-05-05,P008,S001,142,106,123,125,0
2025-05-12,P008,S001,125,180,96,209,0
2025-05-19,P008,S001,209,27,96,140,0
2025-05-26,P008,S001,140,158,94,204,0
2025-06-02,P008,S001,204,0,76,128,0
2025-06-09,P008,S001,128,102,98,132,0
2025-06-16,P008,S001,132,176,88,220,0
2025-01-06,P009,S001,292,0,121,171,0
2025-01-13,P009,S001,171,87,110,148,0
2025-01-20,P009,S001,148,68,127,89,0
2025-01-27,P009,S001,89,141,121,109,0
2025-02-03,P009,S001,109,101,81,129,0
2025-02-10,P009,S001,129,61,97,93,0
2025-02-17,P009,S001,93,139,102,130,0
2025-02-24,P009,S001,130,192,87,235,0
2025-03-03,P009,S001,235,29,127,137,0
2025-03-10,P009,S001,137,123,105,155,0
2025-03-17,P009,S001,155,137,108,184,0
2025-03-24,P009,S001,184,121,116,189,0
2025-03-31,P009,S001,189,86,85,190,0
2025-04-07,P009,S001,190,7,85,112,0
2025-04-14,P009,S001,112,151,105,158,0
2025-04-21,P009,S001,158,137,91,204,0
2025-04-28,P009,S001,204,36,113,127,0
2025-05-05,P009,S001,127,99,92,134,0
2025-05-12,P009,S001,134,90,111,113,0
2025-05-19,P009,S001,113,113,86,140,0
2025-05-26,P009,S001,140,256,195,201,0
2025-06-02,P009,S001,201,84,126,159,0
2025-06-09,P009,S001,159,52,91,120,0
2025-06-16,P009,S001,120,72,105,87,0
2025-01-06,P010,S001,302,0,93,209,0
2025-01-13,P010,S001,209,30,101,138,0
2025-01-20,P010,S001,138,120,83,175,0
2025-01-27,P010,S001,175,100,138,137,0
2025-02-03,P010,S001,137,135,143,129,0
2025-02-10,P010,S001,129,145,102,172,0
2025-02-17,P010,S001,172,134,90,216,0
2025-02-24,P010,S001,216,48,99,165,0
2025-03-03,P010,S001,165,182,163,184,0
2025-03-10,P010,S001,184,66,90,160,0
2025-03-17,P010,S001,160,126,97,189,0
2025-03-24,P010,S001,189,1,102,88,0
2025-03-31,P010,S001,88,95,80,103,0
2025-04-07,P010,S001,103,106,91,118,0
2025-04-14,P010,S001,118,202,103,217,0
2025-04-21,P010,S001,217,18,113,122,0
2025-04-28,P010,S001,122,74,104,92,0
2025-05-05,P010,S001,92,201,159,134,0
2025-05-12,P010,S001,134,95,150,79,0
2025-05-19,P010,S001,79,209,103,185,0
2025-05-26,P010,S001,185,11,96,100,0
2025-06-02,P010,S001,100,116,93,123,0
2025-06-09,P010,S001,123,74,108,89,0
2025-06-16,P010,S001,89,113,87,115,0
2025-01-06,P011,S001,150,253,211,192,0
2025-01-13,P011,S001,192,67,99,160,0
2025-01-20,P011,S001,160,82,101,141,0
2025-01-27,P011,S001,141,86,96,131,0
2025-02-03,P011,S001,131,165,106,190,0
2025-02-10,P011,S001,190,122,110,202,0
2025-02-17,P011,S001,202,75,122,155,0
2025-02-24,P011,S001,155,170,109,216,0
2025-03-03,P011,S001,216,17,94,139,0
2025-03-10,P011,S001,139,93,83,149,0
2025-03-17,P011,S001,149,78,94,133,0
2025-03-24,P011,S001,133,56,104,85,0
2025-03-31,P011,S001,85,167,97,155,0
2025-04-07,P011,S001,155,138,115,178,0
2025-04-14,P011,S001,178,78,116,140,0
2025-04-21,P011,S001,140,169,121,188,0
2025-04-28,P011,S001,188,65,105,148,0
2025-05-05,P011,S001,148,92,139,101,0
2025-05-12,P011,S001,101,131,114,118,0
2025-05-19,P011,S001,118,128,88,158,0
2025-05-26,P011,S001,158,98,98,158,0
2025-06-02,P011,S001,158,81,92,147,0
2025-06-09,P011,S001,147,138,96,189,0
2025-06-16,P011,S001,189,104,104,189,0
2025-01-06,P012,S001,265,5,90,180,0
2025-01-13,P012,S001,180,7,84,103,0
2025-01-20,P012,S001,103,117,97,123,0
2025-01-27,P012,S001,123,139,154,108,0
2025-02-03,P012,S001,108,75,97,86,0
2025-02-10,P012,S001,86,93,92,87,0
2025-02-17,P012,S001,87,183,86,184,0
2025-02-24,P012,S001,184,58,149,93,0
2025-03-03,P012,S001,93,115,98,110,0
2025-03-10,P012,S001,110,153,91,172,0
2025-03-17,P012,S001,172,52,83,141,0
2025-03-24,P012,S001,141,105,114,132,0
2025-03-31,P012,S001,132,81,77,136,0
2025-04-07,P012,S001,136,167,101,202,0
2025-04-14,P012,S001,202,105,103,204,0
2025-04-21,P012,S001,204,5,96,113,0
2025-04-28,P012,S001,113,120,91,142,0
2025-05-05,P012,S001,142,94,119,117,0
2025-05-12,P012,S001,117,158,104,171,0
2025-05-19,P012,S001,171,151,91,231,0
2025-05-26,P012,S001,231,13,96,148,0
2025-06-02,P012,S001,148,229,196,181,0
2025-06-09,P012,S001,181,140,113,208,0
2025-06-16,P012,S001,208,12,97,123,0
2025-01-06,P013,S001,232,36,94,174,0
2025-01-13,P013,S001,174,108,106,176,0
2025-01-20,P013,S001,176,79,111,144,0
2025-01-27,P013,S001,144,149,80,213,0
2025-02-03,P013,S001,213,142,189,166,0
2025-02-10,P013,S001,166,141,112,195,0
2025-02-17,P013,S001,195,29,90,134,0
2025-02-24,P013,S001,134,95,80,149,0
2025-03-03,P013,S001,149,34,99,84,0
2025-03-10,P013,S001,84,127,80,131,0
2025-03-17,P013,S001,131,132,106,157,0
2025-03-24,P013,S001,157,199,194,162,0
2025-03-31,P013,S001,162,129,88,203,0
2025-04-07,P013,S001,203,54,81,176,0
2025-04-14,P013,S001,176,146,101,221,0
2025-04-21,P013,S001,221,0,105,116,0
2025-04-28,P013,S001,116,133,106,143,0
2025-05-05,P013,S001,143,30,81,92,0
2025-05-12,P013,S001,92,162,109,145,0
2025-05-19,P013,S001,145,101,100,146,0
2025-05-26,P013,S001,146,40,98,88,0
2025-06-02,P013,S001,88,174,114,148,0
2025-06-09,P013,S001,148,103,97,154,0
2025-06-16,P013,S001,154,135,93,196,0
2025-01-06,P014,S001,287,0,168,119,0
2025-01-13,P014,S001,119,101,111,109,0
2025-01-20,P014,S001,109,150,112,147,0
2025-01-27,P014,S001,147,148,113,182,0
2025-02-03,P014,S001,182,85,132,135,0
2025-02-10,P014,S001,135,88,112,111,0
2025-02-17,P014,S001,111,195,116,190,0
2025-02-24,P014,S001,190,58,93,155,0
2025-03-03,P014,S001,155,122,98,179,0
2025-03-10,P014,S001,179,189,219,149,0
2025-03-17,P014,S001,149,148,104,193,0
2025-03-24,P014,S001,193,77,104,166,0
2025-03-31,P014,S001,166,119,106,179,0
2025-04-07,P014,S001,179,46,89,136,0
2025-04-14,P014,S001,136,161,146,151,0
2025-04-21,P014,S001,151,138,81,208,0
2025-04-28,P014,S001,208,31,113,126,0
2025-05-05,P014,S001,126,192,194,124,0
2025-05-12,P014,S001,124,146,95,175,0
2025-05-19,P014,S001,175,143,84,234,0
2025-05-26,P014,S001,234,0,107,127,0
2025-06-02,P014,S001,127,188,108,207,0
2025-06-09,P014,S001,207,44,96,155,0
2025-06-16,P014,S001,155,83,117,121,0
2025-01-06,P015,S001,193,0,95,98,0
2025-01-13,P015,S001,98,85,80,103,0
2025-01-20,P015,S001,103,91,89,105,0
2025-01-27,P015,S001,105,118,104,119,0
2025-02-03,P015,S001,119,142,109,152,0
2025-02-10,P015,S001,152,104,129,127,0
2025-02-17,P015,S001,127,277,196,208,0
2025-02-24,P015,S001,208,71,125,154,0
2025-03-03,P015,S001,154,52,100,106,0
2025-03-10,P015,S001,106,113,101,118,0
2025-03-17,P015,S001,118,159,109,168,0
2025-03-24,P015,S001,168,126,108,186,0
2025-03-31,P015,S001,186,52,97,141,0
2025-04-07,P015,S001,141,55,96,100,0
2025-04-14,P015,S001,100,161,115,146,0
2025-04-21,P015,S001,146,138,86,198,0
2025-04-28,P015,S001,198,35,78,155,0
2025-05-05,P015,S001,155,83,112,126,0
2025-05-12,P015,S001,126,101,105,122,0
2025-05-19,P015,S001,122,76,85,113,0
2025-05-26,P015,S001,113,162,96,179,0
2025-06-02,P015,S001,179,68,90,157,0
2025-06-09,P015,S001,157,121,109,169,0
2025-06-16,P015,S001,169,79,82,166,0
2025-01-06,P016,S001,336,0,105,231,0
2025-01-13,P016,S001,231,0,114,117,0
2025-01-20,P016,S001,117,156,80,193,0
2025-01-27,P016,S001,193,125,109,209,0
2025-02-03,P016,S001,209,68,106,171,0
2025-02-10,P016,S001,171,149,114,206,0
2025-02-17,P016,S001,206,52,103,155,0
2025-02-24,P016,S001,155,133,109,179,0
2025-03-03,P016,S001,179,102,106,175,0
2025-03-10,P016,S001,175,32,88,119,0
2025-03-17,P016,S001,119,219,111,227,0
2025-03-24,P016,S001,227,20,120,127,0
2025-03-31,P016,S001,127,202,119,210,0
2025-04-07,P016,S001,210,102,104,208,0
2025-04-14,P016,S001,208,30,87,151,0
2025-04-21,P016,S001,151,162,89,224,0
2025-04-28,P016,S001,224,1,125,100,0
2025-05-05,P016,S001,100,80,101,79,0
2025-05-12,P016,S001,79,150,88,141,0
2025-05-19,P016,S001,141,102,81,162,0
2025-05-26,P016,S001,162,149,100,211,0
2025-06-02,P016,S001,211,73,101,183,0
2025-06-09,P016,S001,183,53,113,123,0
2025-06-16,P016,S001,123,157,112,168,0
2025-01-06,P017,S001,301,0,86,215,0
2025-01-13,P017,S001,215,0,103,112,0
2025-01-20,P017,S001,112,178,115,175,0
2025-01-27,P017,S001,175,103,95,183,0
2025-02-03,P017,S001,183,94,109,168,0
2025-02-10,P017,S001,168,133,122,179,0
2025-02-17,P017,S001,179,172,152,199,0
2025-02-24,P017,S001,199,69,85,183,0
2025-03-03,P017,S001,183,135,119,199,0
2025-03-10,P017,S001,199,19,97,121,0
2025-03-17,P017,S001,121,110,100,131,0
2025-03-24,P017,S001,131,183,119,195,0
2025-03-31,P017,S001,195,105,105,195,0
2025-04-07,P017,S001,195,71,109,157,0
2025-04-14,P017,S001,157,25,89,93,0
2025-04-21,P017,S001,93,210,104,199,0
2025-04-28,P017,S001,199,83,141,141,0
2025-05-05,P017,S001,141,96,102,135,0
2025-05-12,P017,S001,135,204,131,208,0
2025-05-19,P017,S001,208,126,119,215,0
2025-05-26,P017,S001,215,10,84,141,0
2025-06-02,P017,S001,141,59,119,81,0
2025-06-09,P017,S001,81,187,90,178,0
2025-06-16,P017,S001,178,116,116,178,0
2025-01-06,P018,S001,236,0,109,127,0
2025-01-13,P018,S001,127,78,89,116,0
2025-01-20,P018,S001,116,87,101,102,0
2025-01-27,P018,S001,102,139,100,141,0
2025-02-03,P018,S001,141,43,92,92,0
2025-02-10,P018,S001,92,193,107,178,0
2025-02-17,P018,S001,178,59,107,130,0
2025-02-24,P018,S001,130,80,116,94,0
2025-03-03,P018,S001,94,98,88,104,0
2025-03-10,P018,S001,104,172,97,179,0
2025-03-17,P018,S001,179,56,105,130,0
2025-03-24,P018,S001,130,179,116,193,0
2025-03-31,P018,S001,193,56,108,141,0
2025-04-07,P018,S001,141,169,128,182,0
2025-04-14,P018,S001,182,13,88,107,0
2025-04-21,P018,S001,107,174,119,162,0
2025-04-28,P018,S001,162,134,90,206,0
2025-05-05,P018,S001,206,96,110,192,0
2025-05-12,P018,S001,192,63,110,145,0
2025-05-19,P018,S001,145,150,130,165,0
2025-05-26,P018,S001,165,48,101,112,0
2025-06-02,P018,S001,112,135,91,156,0
2025-06-09,P018,S001,156,71,110,117,0
2025-06-16,P018,S001,117,89,99,107,0
2025-01-06,P019,S001,335,0,117,218,0
2025-01-13,P019,S001,218,0,91,127,0
2025-01-20,P019,S001,127,100,130,97,0
2025-01-27,P019,S001,97,140,90,147,0
2025-02-03,P019,S001,147,46,114,79,0
2025-02-10,P019,S001,79,186,105,160,0
2025-02-17,P019,S001,160,118,174,104,0
2025-02-24,P019,S001,104,123,78,149,0
2025-03-03,P019,S001,149,83,116,116,0
2025-03-10,P019,S001,116,83,98,101,0
2025-03-17,P019,S001,101,172,106,167,0
2025-03-24,P019,S001,167,177,186,158,0
2025-03-31,P019,S001,158,71,117,112,0
2025-04-07,P019,S001,112,83,84,111,0
2025-04-14,P019,S001,111,127,115,123,0
2025-04-21,P019,S001,123,122,80,165,0
2025-04-28,P019,S001,165,102,125,142,0
2025-05-05,P019,S001,142,185,100,227,0
2025-05-12,P019,S001,227,18,119,126,0
2025-05-19,P019,S001,126,94,89,131,0
2025-05-26,P019,S001,131,109,114,126,0
2025-06-02,P019,S001,126,72,96,102,0
2025-06-09,P019,S001,102,165,77,190,0
2025-06-16,P019,S001,190,6,98,98,0
2025-01-06,P020,S001,171,217,170,218,0
2025-01-13,P020,S001,218,51,82,187,0
2025-01-20,P020,S001,187,0,92,95,0
2025-01-27,P020,S001,95,146,103,138,0
2025-02-03,P020,S001,138,190,123,205,0
2025-02-10,P020,S001,205,66,111,160,0
2025-02-17,P020,S001,160,58,119,99,0
2025-02-24,P020,S001,99,175,87,187,0
2025-03-03,P020,S001,187,38,110,115,0
2025-03-10,P020,S001,115,204,215,104,0
2025-03-17,P020,S001,104,234,176,162,0
2025-03-24,P020,S001,162,33,78,117,0
2025-03-31,P020,S001,117,184,107,194,0
2025-04-07,P020,S001,194,98,95,197,0
2025-04-14,P020,S001,197,11,100,108,0
2025-04-21,P020,S001,108,102,84,126,0
2025-04-28,P020,S001,126,69,93,102,0
2025-05-05,P020,S001,102,179,86,195,0
2025-05-12,P020,S001,195,5,110,90,0
2025-05-19,P020,S001,90,112,84,118,0
2025-05-26,P020,S001,118,194,101,211,0
2025-06-02,P020,S001,211,25,104,132,0
2025-06-09,P020,S001,132,149,118,163,0
2025-06-16,P020,S001,163,222,180,205,0
2025-01-06,P001,S002,167,21,87,101,0
2025-01-13,P001,S002,101,151,103,149,0
2025-01-20,P001,S002,149,90,95,144,0
2025-01-27,P001,S002,144,179,125,198,0
2025-02-03,P001,S002,198,134,127,205,0
2025-02-10,P001,S002,205,100,122,183,0
2025-02-17,P001,S002,183,101,116,168,0
2025-02-24,P001,S002,168,96,116,148,0
2025-03-03,P001,S002,148,84,88,144,0
2025-03-10,P001,S002,144,107,117,134,0
2025-03-17,P001,S002,134,153,101,186,0
2025-03-24,P001,S002,186,35,94,127,0
2025-03-31,P001,S002,127,85,85,127,0
2025-04-07,P001,S002,127,81,89,119,0
2025-04-14,P001,S002,119,175,99,195,0
2025-04-21,P001,S002,195,0,87,108,0
2025-04-28,P001,S002,108,159,118,149,0
2025-05-05,P001,S002,149,69,87,131,0
2025-05-12,P001,S002,131,128,100,159,0
2025-05-19,P001,S002,159,162,103,218,0
2025-05-26,P001,S002,218,34,87,165,0
2025-06-02,P001,S002,165,68,126,107,0
2025-06-09,P001,S002,107,201,103,205,0
2025-06-16,P001,S002,205,47,93,159,0
2025-01-06,P002,S002,177,113,112,178,0
2025-01-13,P002,S002,178,21,98,101,0
2025-01-20,P002,S002,101,231,180,152,0
2025-01-27,P002,S002,152,107,106,153,0
2025-02-03,P002,S002,153,52,85,120,0
2025-02-10,P002,S002,120,158,136,142,0
2025-02-17,P002,S002,142,51,93,100,0
2025-02-24,P002,S002,100,165,80,185,0
2025-03-03,P002,S002,185,87,108,164,0
2025-03-10,P002,S002,164,57,93,128,0
2025-03-17,P002,S002,128,56,81,103,0
2025-03-24,P002,S002,103,213,113,203,0
2025-03-31,P002,S002,203,64,90,177,0
2025-04-07,P002,S002,177,45,113,109,0
2025-04-14,P002,S002,109,247,163,193,0
2025-04-21,P002,S002,193,0,97,96,0
2025-04-28,P002,S002,96,173,93,176,0
2025-05-05,P002,S002,176,57,112,121,0
2025-05-12,P002,S002,121,231,147,205,0
2025-05-19,P002,S002,205,0,88,117,0
2025-05-26,P002,S002,117,80,126,71,0
2025-06-02,P002,S002,71,144,91,124,0
2025-06-09,P002,S002,124,90,125,89,0
2025-06-16,P002,S002,89,150,111,128,0
2025-01-06,P003,S002,258,0,98,160,0
2025-01-13,P003,S002,160,79,105,134,0
2025-01-20,P003,S002,134,107,84,157,0
2025-01-27,P003,S002,157,127,144,140,0
2025-02-03,P003,S002,140,69,87,122,0
2025-02-10,P003,S002,122,171,109,184,0
2025-02-17,P003,S002,184,56,89,151,0
2025-02-24,P003,S002,151,111,108,154,0
2025-03-03,P003,S002,154,58,87,125,0
2025-03-10,P003,S002,125,97,90,132,0
2025-03-17,P003,S002,132,187,83,236,0
2025-03-24,P003,S002,236,0,93,143,0
2025-03-31,P003,S002,143,156,153,146,0
2025-04-07,P003,S002,146,126,102,170,0
2025-04-14,P003,S002,170,96,114,152,0
2025-04-21,P003,S002,152,104,94,162,0
2025-04-28,P003,S002,162,158,95,225,0
2025-05-05,P003,S002,225,76,90,211,0
2025-05-12,P003,S002,211,36,114,133,0
2025-05-19,P003,S002,133,23,79,77,0
2025-05-26,P003,S002,77,171,96,152,0
2025-06-02,P003,S002,152,20,79,93,0
2025-06-09,P003,S002,93,234,175,152,0
2025-06-16,P003,S002,152,149,106,195,0
2025-01-06,P004,S002,193,25,104,114,0
2025-01-13,P004,S002,114,160,127,147,0
2025-01-20,P004,S002,147,51,104,94,0
2025-01-27,P004,S002,94,218,107,205,0
2025-02-03,P004,S002,205,66,89,182,0
2025-02-10,P004,S002,182,110,129,163,0
2025-02-17,P004,S002,163,70,118,115,0
2025-02-24,P004,S002,115,168,115,168,0
2025-03-03,P004,S002,168,36,120,84,0
2025-03-10,P004,S002,84,172,115,141,0
2025-03-17,P004,S002,141,123,147,117,0
2025-03-24,P004,S002,117,102,93,126,0
2025-03-31,P004,S002,126,172,105,193,0
2025-04-07,P004,S002,193,118,117,194,0
2025-04-14,P004,S002,194,3,90,107,0
2025-04-21,P004,S002,107,246,152,201,0
2025-04-28,P004,S002,201,95,86,210,0
2025-05-05,P004,S002,210,66,122,154,0
2025-05-12,P004,S002,154,139,89,204,0
2025-05-19,P004,S002,204,61,100,165,0
2025-05-26,P004,S002,165,38,109,94,0
2025-06-02,P004,S002,94,190,92,192,0
2025-06-09,P004,S002,192,29,80,141,0
2025-06-16,P004,S002,141,116,119,138,0
2025-01-06,P005,S002,341,0,79,262,0
2025-01-13,P005,S002,262,17,128,151,0
2025-01-20,P005,S002,151,118,116,153,0
2025-01-27,P005,S002,153,147,111,189,0
2025-02-03,P005,S002,189,77,104,162,0
2025-02-10,P005,S002,162,77,114,125,0
2025-02-17,P005,S002,125,118,102,141,0
2025-02-24,P005,S002,141,58,89,110,0
2025-03-03,P005,S002,110,140,108,142,0
2025-03-10,P005,S002,142,78,86,134,0
2025-03-17,P005,S002,134,28,83,79,0
2025-03-24,P005,S002,79,113,100,92,0
2025-03-31,P005,S002,92,123,115,100,0
2025-04-07,P005,S002,100,172,92,180,0
2025-04-14,P005,S002,180,132,84,228,0
2025-04-21,P005,S002,228,76,88,216,0
2025-04-28,P005,S002,216,28,93,151,0
2025-05-05,P005,S002,151,86,80,157,0
2025-05-12,P005,S002,157,72,102,127,0
2025-05-19,P005,S002,127,102,106,123,0
2025-05-26,P005,S002,123,136,86,173,0
2025-06-02,P005,S002,173,78,87,164,0
2025-06-09,P005,S002,164,104,107,161,0
2025-06-16,P005,S002,161,109,102,168,0
2025-01-06,P006,S002,274,25,120,179,0
2025-01-13,P006,S002,179,120,147,152,0
2025-01-20,P006,S002,152,44,124,72,0
2025-01-27,P006,S002,72,230,85,217,0
2025-02-03,P006,S002,217,20,115,122,0
